<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210810,000000,146.6400000,148.9400000,146.3300000,148.6700000,830981
20210811,000000,149.4500000,151.5600000,149.1700000,150.0000000,629263
20210812,000000,149.0900000,150.2100000,149.0000000,149.0400000,247409
20210813,000000,149.3400000,150.3600000,149.1600000,149.5200000,246427
20210816,000000,149.6900000,151.7300000,149.0450000,150.7600000,668022
20210817,000000,150.3000000,152.4900000,149.2000000,150.7000000,716042
20210818,000000,150.4600000,152.5500000,149.0400000,149.1200000,393518
20210819,000000,148.1700000,150.6600000,148.1700000,150.1300000,398452
20210820,000000,150.1400000,151.7000000,149.7600000,151.4800000,337451
20210823,000000,151.6300000,151.7500000,150.4300000,150.4300000,228104
20210824,000000,150.4400000,150.4400000,148.7300000,148.9100000,333105
20210825,000000,148.5200000,149.2700000,148.0400000,148.9300000,326130
20210826,000000,147.4400000,148.2400000,146.6900000,147.3300000,491871
20210827,000000,147.6200000,147.6800000,146.1850000,146.5100000,380129
20210830,000000,146.6100000,147.9800000,146.1000000,147.7000000,280847
20210831,000000,147.9800000,148.4400000,147.2600000,148.0800000,337780
20210901,000000,147.6600000,147.8800000,146.5800000,147.7300000,295379
20210902,000000,148.0800000,148.7800000,147.6900000,148.5500000,295135
20210903,000000,148.4400000,149.6400000,147.9100000,149.2600000,207495
20210907,000000,149.1300000,149.1300000,147.0700000,147.2500000,403484
20210908,000000,147.1500000,148.3200000,146.7400000,147.4800000,293108
20210909,000000,147.4800000,147.4800000,145.8400000,146.4300000,376471
20210910,000000,147.1400000,147.1700000,145.4400000,145.8900000,225666
20210913,000000,146.6700000,147.1100000,144.6400000,145.0350000,321874
20210914,000000,145.5000000,145.7500000,143.9300000,144.3100000,289992
20210915,000000,144.3400000,144.7500000,143.8000000,144.5500000,211711
20210916,000000,144.6600000,145.3000000,143.7100000,145.0300000,300366
20210917,000000,145.0300000,146.1600000,144.4500000,144.7500000,616015
20210920,000000,143.4100000,145.1800000,141.6600000,142.6900000,378701
20210921,000000,142.7200000,144.5700000,142.7200000,143.0100000,257421
20210922,000000,143.5500000,143.5900000,142.3400000,142.7100000,173625
20210923,000000,143.1600000,143.5900000,142.4500000,142.7600000,234147
20210924,000000,142.5800000,143.6800000,142.5800000,143.1500000,173858
20210927,000000,142.8900000,143.5100000,141.8500000,142.2600000,306424
20210928,000000,142.0200000,142.0200000,139.9900000,140.5100000,313123
20210929,000000,140.9100000,141.8200000,140.3300000,140.4300000,208623
20210930,000000,140.8000000,141.7000000,139.3350000,139.3500000,295652
20211001,000000,139.3400000,139.5800000,135.9400000,136.9500000,382464
20211004,000000,137.0500000,138.1900000,134.7100000,135.7200000,386248
20211005,000000,136.1100000,137.6900000,136.0000000,136.6000000,243313
20211006,000000,136.3000000,137.7900000,136.1500000,137.6200000,236148
20211007,000000,139.0900000,140.6900000,138.8900000,139.2200000,300685
20211008,000000,139.6600000,140.0900000,139.0100000,139.6900000,148174
20211011,000000,139.6200000,140.7700000,139.4700000,139.5400000,217807
20211012,000000,139.4900000,140.4100000,139.0900000,139.4000000,285901
20211013,000000,139.7500000,139.8200000,138.1700000,138.3600000,272424
20211014,000000,138.7900000,140.0700000,138.5000000,139.8800000,267695
20211015,000000,140.5500000,141.0800000,139.9700000,140.5500000,208737
20211018,000000,139.9400000,142.0000000,139.8900000,141.6900000,198747
20211019,000000,144.6400000,145.6050000,143.6800000,144.7000000,524021
20211020,000000,145.0400000,146.4700000,145.0400000,146.0100000,275565
20211021,000000,146.4200000,146.9100000,145.8500000,146.8100000,145606
20211022,000000,147.3400000,149.6400000,147.3400000,148.3350000,410419
20211025,000000,148.7000000,150.5200000,148.1100000,150.1000000,357258
20211026,000000,150.0000000,150.5100000,148.4800000,148.7700000,301759
20211027,000000,148.7500000,148.9800000,147.4000000,147.5300000,232471
20211028,000000,148.1600000,148.9400000,147.7200000,148.4900000,172472
20211029,000000,147.8000000,150.0800000,147.7300000,149.4200000,266263
20211101,000000,150.0700000,150.7200000,149.3650000,149.8000000,171021
20211102,000000,149.9700000,150.1600000,149.2800000,149.7250000,213991
20211103,000000,149.5100000,150.2800000,149.0500000,150.1800000,180755
20211104,000000,150.1000000,151.8400000,149.8400000,151.2700000,242810
20211105,000000,151.7600000,151.8200000,149.6200000,150.2200000,245733
20211108,000000,150.2200000,150.5100000,148.7300000,149.2500000,263454
20211109,000000,149.5400000,149.8700000,148.8800000,149.7900000,258493
20211110,000000,148.4700000,149.5500000,147.9900000,148.4200000,246103
20211111,000000,148.8300000,148.9900000,148.2200000,148.4600000,231394
20211112,000000,149.1000000,149.2100000,147.5600000,147.7700000,320282
20211115,000000,148.1900000,148.3600000,146.4100000,146.9200000,548856
20211116,000000,145.0950000,146.6400000,142.3250000,143.0900000,1163299
20211117,000000,143.1000000,144.7000000,141.8200000,141.9400000,621704
20211118,000000,142.1100000,143.2900000,140.9000000,143.1650000,370618
20211119,000000,143.6600000,143.9500000,141.9500000,142.3800000,456403
20211122,000000,142.6900000,145.3500000,142.0400000,144.7700000,470269
20211123,000000,144.5000000,145.9700000,143.3200000,145.8200000,504502
20211124,000000,145.6900000,147.0400000,145.6900000,146.5400000,310413
20211126,000000,146.1100000,147.8600000,144.4400000,144.9600000,394947
20211129,000000,145.1000000,145.1800000,142.5400000,142.6100000,463116
20211130,000000,141.4900000,142.4900000,140.0200000,140.6150000,520591
20211201,000000,140.3300000,140.6900000,137.0650000,137.0650000,406952
20211202,000000,137.4800000,138.4200000,135.2400000,135.3400000,443049
20211203,000000,135.9800000,137.8700000,135.3000000,137.4850000,543528
20211206,000000,137.3800000,139.3600000,137.3800000,138.9900000,372497
20211207,000000,139.5300000,139.7700000,138.1200000,138.5400000,445666
20211208,000000,138.2000000,138.4600000,136.0200000,137.1100000,513220
20211209,000000,136.5900000,138.5700000,135.7200000,138.5050000,637858
20211210,000000,138.3700000,141.2900000,137.5800000,141.0400000,790566
20211213,000000,140.3100000,143.7200000,140.0600000,143.6300000,679650
20211214,000000,143.3400000,145.2700000,142.1900000,144.9500000,692357
20211215,000000,145.2300000,146.4500000,143.5400000,145.7700000,551791
20211216,000000,145.9000000,146.5000000,142.9000000,143.2500000,559583
20211217,000000,142.6000000,143.9000000,138.4000000,138.7800000,817986
20211220,000000,138.0000000,139.7400000,137.6000000,139.1800000,488738
20211221,000000,139.0200000,139.8500000,138.0200000,139.6400000,270476
20211222,000000,139.9300000,139.9900000,138.5600000,139.8100000,175552
20211223,000000,139.7800000,140.1500000,138.8600000,139.4900000,230376
20211227,000000,139.6800000,140.8600000,139.6800000,140.7900000,255314
20211228,000000,140.9700000,142.9600000,140.9100000,142.7700000,276635
20211229,000000,143.1100000,143.5100000,142.3500000,142.7300000,223779
20211230,000000,143.1600000,143.6950000,142.4800000,143.1800000,267130
20211231,000000,143.3000000,145.0400000,142.9500000,144.7200000,321668
