<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210825,000000,73.8275000,74.0950000,73.6625000,73.9325000,1966874000
20210826,000000,73.9025000,74.4800000,73.8875000,74.2300000,1760183000
20210827,000000,74.3000000,74.3625000,73.5300000,73.5300000,2482123000
20210830,000000,73.5500000,73.6950000,73.4225000,73.5000000,1435733000
20210831,000000,73.5025000,73.5100000,73.2000000,73.2175000,1897371000
20210901,000000,73.2125000,73.3000000,72.8000000,72.9800000,2204277000
20210902,000000,73.0075000,73.0550000,72.7000000,72.8700000,1716842000
20210903,000000,72.9000000,72.9425000,72.5500000,72.7225000,1971524000
20210906,000000,72.7500000,73.0600000,72.7225000,72.9900000,1288410000
20210907,000000,72.9950000,73.3875000,72.9150000,73.2725000,1793911000
20210908,000000,73.3675000,73.5325000,73.1050000,73.1475000,1757223000
20210909,000000,73.2400000,73.3000000,72.8225000,72.9750000,1833994000
20210910,000000,72.9300000,73.2225000,72.6850000,73.1750000,1847935000
20210913,000000,73.1725000,73.2225000,72.6350000,72.6550000,1727300000
20210914,000000,72.7025000,72.9850000,72.5250000,72.9000000,2195069000
20210915,000000,73.0775000,73.0800000,72.2450000,72.2750000,2164076000
20210916,000000,72.3000000,72.6300000,72.2725000,72.5000000,2312541000
20210917,000000,72.5000000,72.9450000,72.4650000,72.8525000,2104902000
20210920,000000,73.0450000,73.6225000,72.8825000,73.4250000,2973922000
20210921,000000,73.5050000,73.5050000,72.9525000,73.0850000,2182258000
20210922,000000,73.0450000,73.1200000,72.6050000,72.9725000,2881840000
20210923,000000,72.6550000,73.2700000,72.5625000,72.8425000,2710408000
20210924,000000,72.8425000,73.0875000,72.7050000,72.7225000,2185213000
20210927,000000,72.8100000,72.8200000,72.4400000,72.5300000,1742402000
20210928,000000,72.5475000,73.0300000,72.4000000,72.7950000,2749052000
20210929,000000,72.7700000,72.9450000,72.6200000,72.8400000,2228058000
20210930,000000,72.7600000,72.9600000,72.5850000,72.7350000,2496255000
20211001,000000,72.8775000,73.2450000,72.6550000,72.7300000,3000041000
20211004,000000,72.9700000,73.0050000,72.4075000,72.5100000,2225666000
20211005,000000,72.5475000,72.6850000,72.2725000,72.3700000,2143812000
20211006,000000,72.3800000,72.7275000,72.3375000,72.3900000,2594599000
20211007,000000,72.3975000,72.4750000,71.6675000,71.7000000,2890763000
20211008,000000,71.7500000,72.0625000,71.6500000,71.8750000,2388165000
20211011,000000,71.8750000,71.9000000,71.5550000,71.8650000,2105525000
20211012,000000,71.8650000,71.9975000,71.7300000,71.8050000,2512347000
20211013,000000,71.8175000,72.1350000,71.7500000,71.9700000,2525523000
20211014,000000,71.9700000,71.9700000,71.3275000,71.3450000,2374786000
20211015,000000,71.3650000,71.4475000,70.9050000,71.0250000,2216461000
20211018,000000,71.0250000,71.3825000,70.9350000,71.2875000,1836252000
20211019,000000,71.2500000,71.2500000,70.8125000,70.8525000,2068594000
20211020,000000,70.8700000,71.1475000,70.7825000,70.8025000,1899372000
20211021,000000,70.8550000,71.3050000,70.8050000,71.0950000,2395878000
20211022,000000,71.3800000,73.7250000,69.8150000,70.3375000,3067889000
20211025,000000,70.3525000,70.5150000,69.7000000,69.7100000,2610299000
20211026,000000,69.7100000,69.7800000,69.2100000,69.5025000,3122420000
20211027,000000,69.5675000,70.6800000,69.4200000,70.6425000,3939051000
20211028,000000,70.6775000,70.7750000,70.0600000,70.2025000,2984113000
20211029,000000,70.2025000,71.0200000,70.1950000,70.9550000,2970894000
20211101,000000,71.3400000,71.6625000,70.7250000,71.5600000,2258986000
20211102,000000,71.5600000,72.0125000,71.3800000,71.5025000,2354973000
20211103,000000,71.5000000,72.2550000,71.3300000,71.7300000,3303017000
20211105,000000,71.5450000,71.9725000,71.0275000,71.2550000,1153350000
20211108,000000,71.2550000,71.5275000,71.1225000,71.2025000,2093818000
20211109,000000,71.2025000,71.3600000,70.6550000,70.7550000,2456326000
20211110,000000,70.7550000,71.3500000,70.5100000,71.3000000,2926966000
20211111,000000,71.3700000,71.7900000,70.9675000,71.6300000,2612220000
20211112,000000,71.6100000,73.2200000,71.5000000,72.8875000,5342008000
20211115,000000,72.7200000,72.8500000,72.0050000,72.5000000,3503403000
20211116,000000,72.0100000,73.5025000,71.1525000,73.1300000,3478724000
20211117,000000,73.1850000,73.2950000,72.3225000,72.5000000,3063185000
20211118,000000,72.6400000,73.3725000,72.4400000,73.0500000,2976070000
20211119,000000,73.0500000,73.6775000,72.6925000,73.4450000,4068293000
20211122,000000,73.4525000,75.0750000,73.1600000,74.8200000,4527786000
20211123,000000,74.8875000,75.2925000,74.0525000,74.2700000,4611854000
20211124,000000,74.2500000,75.0450000,74.1100000,74.9900000,3444404000
20211125,000000,74.8200000,74.9250000,74.4900000,74.6800000,1920683000
20211126,000000,74.8875000,75.9225000,74.8200000,75.6050000,4007643000
20211129,000000,74.8050000,75.2550000,74.2425000,74.6000000,3308109000
20211130,000000,74.5400000,75.1200000,73.9675000,74.0650000,4529401000
20211201,000000,74.0700000,74.3875000,73.7000000,74.2775000,3421921000
20211202,000000,74.7500000,74.7500000,73.5225000,73.6400000,2934910000
20211203,000000,73.8425000,73.9800000,73.3000000,73.8325000,2440547000
20211206,000000,73.7975000,74.4525000,73.5025000,74.3100000,3289020000
20211207,000000,74.6350000,74.6350000,73.8425000,74.0600000,3572353000
20211208,000000,73.9700000,74.0550000,73.5100000,73.5875000,2745441000
20211209,000000,73.6475000,73.7700000,73.4700000,73.6850000,2508249000
20211210,000000,73.7025000,73.7900000,73.2625000,73.3725000,2325992000
20211213,000000,73.4050000,73.7050000,73.2475000,73.4975000,2329608000
20211214,000000,73.5375000,73.9100000,73.4050000,73.8000000,2325276000
20211215,000000,73.8450000,74.3750000,73.6625000,73.7100000,2605406000
20211216,000000,73.7000000,73.8650000,73.3450000,73.7525000,2343555000
20211217,000000,73.7500000,74.2700000,73.5600000,74.1300000,2743375000
20211220,000000,74.3100000,74.5000000,74.0550000,74.1450000,2533417000
20211221,000000,74.0775000,74.1300000,73.7200000,73.9525000,2702722000
20211222,000000,74.1175000,74.2175000,73.6000000,73.7400000,2217571000
20211223,000000,73.6050000,73.6700000,73.1850000,73.3000000,2558339000
20211224,000000,73.3575000,73.7350000,73.1300000,73.6500000,1548645000
20211227,000000,73.6675000,73.6725000,73.0825000,73.4325000,2150743000
20211228,000000,73.4250000,73.8825000,73.3300000,73.7175000,2102355000
20211229,000000,73.7050000,74.2075000,73.5350000,73.9925000,2666721000
20211230,000000,73.9425000,75.1500000,73.9425000,74.6800000,3546053000
