<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20211019,000000,11.0989000,11.1325000,11.0668000,11.1185000,91852000
20211020,000000,11.1047000,11.1301000,11.0750000,11.0802000,62256000
20211021,000000,11.1008000,11.1500000,11.0925000,11.1205000,102707000
20211022,000000,11.1147000,11.1259000,10.9699000,11.0110000,194977000
20211025,000000,11.0168000,11.0571000,10.9258000,10.9330000,64182000
20211026,000000,10.9127000,10.9377000,10.8590000,10.9065000,55813000
20211027,000000,10.8942000,11.0529000,10.8839000,11.0425000,104068000
20211028,000000,11.0494000,11.0645000,10.9650000,10.9905000,79439000
20211029,000000,10.9984000,11.0809000,10.9895000,11.0680000,82089000
20211101,000000,10.8458000,11.1989000,10.8458000,11.1940000,87184000
20211102,000000,11.1816000,11.2600000,11.1650000,11.1769000,103768000
20211103,000000,11.3583000,11.4100000,11.1253000,11.3800000,97466000
20211105,000000,11.4799000,11.4799000,11.1000000,11.1485000,24122000
20211108,000000,11.1430000,11.1812000,11.1267000,11.1560000,165621000
20211109,000000,11.1559000,11.1604000,11.0631000,11.0756000,107091000
20211110,000000,11.0914000,11.1470000,11.0333000,11.1345000,128070000
20211111,000000,11.1505000,11.2300000,11.0912000,11.2000000,99282000
20211112,000000,11.3180000,11.4800000,11.1956000,11.3500000,413629000
20211115,000000,11.3844000,11.4220000,11.2966000,11.3665000,60785000
20211116,000000,11.3769000,11.4900000,11.3606000,11.4450000,87490000
20211117,000000,11.1840000,11.5145000,11.1840000,11.3885000,108073000
20211118,000000,11.3994000,11.4836000,11.3660000,11.4510000,82007000
20211119,000000,11.4410000,11.5160000,11.3936000,11.4990000,124207000
20211122,000000,11.4775000,11.7562000,11.4700000,11.6903000,409222000
20211123,000000,11.7390000,11.7770000,11.5970000,11.6275000,147284000
20211124,000000,11.6261000,11.7275000,11.5995000,11.7160000,125645000
20211125,000000,11.7999000,11.7999000,11.6621000,11.6906000,116091000
20211126,000000,11.7660000,11.8678000,11.7565000,11.8105000,76426000
20211129,000000,11.7150000,11.7840000,11.6290000,11.6875000,70782000
20211130,000000,11.6706000,11.7814000,11.6240000,11.6395000,70257000
20211201,000000,11.6185000,11.7851000,11.5775000,11.6550000,109256000
20211202,000000,11.6444000,11.6559000,11.5366000,11.5700000,49123000
20211203,000000,11.5824000,11.6024000,11.5200000,11.5900000,58130000
20211206,000000,11.5724000,11.6700000,11.5301000,11.6625000,103687000
20211207,000000,11.9200000,11.9200000,11.5558000,11.6400000,106749000
20211208,000000,11.6349000,11.6562000,11.5876000,11.5876000,117184000
20211209,000000,11.6049000,11.7500000,11.5247000,11.5600000,73175000
20211210,000000,11.5849000,11.5880000,11.4980000,11.5000000,56566000
20211213,000000,11.5299000,11.5649000,11.5060000,11.5375000,67030000
20211214,000000,11.5499000,11.5974000,11.5254000,11.5750000,171509000
20211215,000000,11.5926000,11.6590000,11.5610000,11.5700000,253547000
20211216,000000,11.5649000,11.5800000,11.5100000,11.5650000,134375000
20211217,000000,11.5651000,11.6349000,11.5100000,11.6100000,90494000
20211220,000000,11.5501000,11.7850000,11.5501000,11.6175000,536306000
20211221,000000,11.6149000,11.6199000,11.5600000,11.6000000,144249000
20211222,000000,11.6151000,11.6199000,11.5356000,11.5650000,125912000
20211223,000000,11.5599000,11.5599000,11.4870000,11.5100000,116114000
20211224,000000,11.5124000,11.5724000,11.4763000,11.5600000,90793000
20211227,000000,11.5449000,11.5512000,11.4700000,11.5200000,188905000
20211228,000000,11.5176000,11.5919000,11.5119000,11.5675000,61028000
20211229,000000,11.5824000,11.6449000,11.5470000,11.6325000,68609000
20211230,000000,11.8200000,11.8200000,11.6325000,11.7175000,36876000
