Date,Open,High,Low,Close,Adj Close,Volume
2021-06-22,6.465900,6.480300,6.454600,6.465900,6.465900,0
2021-06-23,6.480300,6.488700,6.463000,6.480300,6.480300,0
2021-06-24,6.473000,6.481200,6.456100,6.473000,6.473000,0
2021-06-25,6.471000,6.471100,6.450200,6.471000,6.471000,0
2021-06-28,6.446300,6.463500,6.445600,6.446300,6.446300,0
2021-06-29,6.455100,6.467500,6.450400,6.455100,6.455100,0
2021-06-30,6.463100,6.463100,6.444800,6.463100,6.463100,0
2021-07-01,6.456200,6.468100,6.454400,6.456200,6.456200,0
2021-07-02,6.467600,6.483800,6.463500,6.467600,6.467600,0
2021-07-05,6.472100,6.472100,6.454500,6.472100,6.472100,0
2021-07-06,6.462800,6.478200,6.452700,6.462800,6.462800,0
2021-07-07,6.478300,6.479100,6.455400,6.478100,6.478100,0
2021-07-08,6.471500,6.489800,6.468500,6.471500,6.471500,0
2021-07-09,6.489100,6.489500,6.469500,6.489100,6.489100,0
2021-07-12,6.478000,6.478000,6.463900,6.478000,6.478000,0
2021-07-13,6.474600,6.474600,6.453200,6.474600,6.474600,0
2021-07-14,6.467500,6.476000,6.448500,6.467500,6.467500,0
2021-07-15,6.468100,6.468700,6.450700,6.468300,6.468300,0
2021-07-16,6.459900,6.478500,6.456400,6.460100,6.460100,0
2021-07-19,6.478200,6.490200,6.476600,6.478200,6.478200,0
2021-07-20,6.489400,6.489500,6.472700,6.489400,6.489400,0
2021-07-21,6.483900,6.484400,6.461100,6.483900,6.483900,0
2021-07-22,6.467000,6.469700,6.455700,6.467000,6.467000,0
2021-07-23,6.469700,6.480600,6.461600,6.469700,6.469700,0
2021-07-26,6.480400,6.486300,6.472900,6.480400,6.480400,0
2021-07-27,6.481700,6.510500,6.473300,6.481700,6.481700,0
2021-07-28,6.509700,6.510300,6.487400,6.509700,6.509700,0
2021-07-29,6.489400,6.489900,6.446400,6.489400,6.489400,0
2021-07-30,6.455300,6.466600,6.443200,6.455300,6.455300,0
2021-08-02,6.460500,6.467500,6.451000,6.460500,6.460500,0
2021-08-03,6.461200,6.469400,6.453400,6.461000,6.461000,0
2021-08-04,6.469200,6.469400,6.449800,6.469200,6.469200,0
2021-08-05,6.465200,6.465800,6.452000,6.465200,6.465200,0
2021-08-06,6.460300,6.483300,6.460300,6.460300,6.460300,0
2021-08-09,6.482500,6.486900,6.467800,6.482500,6.482500,0
2021-08-10,6.485200,6.485500,6.469200,6.485200,6.485200,0
2021-08-11,6.484800,6.487300,6.470900,6.484900,6.484900,0
2021-08-12,6.478200,6.479700,6.465700,6.478200,6.478200,0
2021-08-13,6.478400,6.482200,6.466600,6.478300,6.478300,0
2021-08-16,6.476400,6.479200,6.472700,6.476400,6.476400,0
2021-08-17,6.473600,6.486100,6.467500,6.473600,6.473600,0
2021-08-18,6.485100,6.485300,6.471000,6.485100,6.485100,0
2021-08-19,6.483200,6.497400,6.482800,6.483200,6.483200,0
2021-08-20,6.493700,6.503100,6.489400,6.493700,6.493700,0
2021-08-23,6.491600,6.495400,6.471500,6.491600,6.491600,0
2021-08-24,6.480000,6.483200,6.468600,6.480000,6.480000,0
2021-08-25,6.469900,6.478300,6.467500,6.469900,6.469900,0
2021-08-26,6.474900,6.485600,6.472500,6.474900,6.474900,0
2021-08-27,6.480500,6.486700,6.469400,6.480500,6.480500,0
2021-08-30,6.470800,6.470800,6.457700,6.470800,6.470800,0
2021-08-31,6.465100,6.470900,6.450800,6.465100,6.465100,0
2021-09-01,6.459600,6.468000,6.454400,6.459600,6.459600,0
2021-09-02,6.458900,6.462300,6.446200,6.459000,6.459000,0
2021-09-03,6.455400,6.460100,6.432700,6.455400,6.455400,0
2021-09-06,6.451900,6.458500,6.447400,6.451900,6.451900,0
2021-09-07,6.456700,6.466100,6.445600,6.456700,6.456700,0
2021-09-08,6.465500,6.465600,6.451100,6.465500,6.465500,0
2021-09-09,6.460700,6.462200,6.445000,6.460700,6.460700,0
2021-09-10,6.454300,6.456000,6.427100,6.454300,6.454300,0
2021-09-13,6.443400,6.456300,6.443300,6.443400,6.443400,0
2021-09-14,6.450800,6.451000,6.436900,6.450800,6.450800,0
2021-09-15,6.438300,6.443300,6.427500,6.438300,6.438300,0
2021-09-16,6.431400,6.456800,6.429700,6.431400,6.431400,0
2021-09-17,6.456600,6.467900,6.440600,6.456600,6.456600,0
2021-09-20,6.465200,6.465800,6.464000,6.465200,6.465200,0
2021-09-21,6.465000,6.466500,6.465000,6.465000,6.465000,0
2021-09-22,6.466000,6.472300,6.455800,6.466000,6.466000,0
2021-09-23,6.460800,6.468800,6.443500,6.460800,6.460800,0
2021-09-24,6.457900,6.468600,6.455900,6.457900,6.457900,0
2021-09-27,6.465700,6.465700,6.449400,6.465700,6.465700,0
2021-09-28,6.456000,6.461100,6.449200,6.456000,6.456000,0
2021-09-29,6.459000,6.470300,6.454100,6.459000,6.459000,0
2021-09-30,6.469600,6.473300,6.436700,6.469600,6.469600,0
2021-10-01,6.445500,6.445900,6.445300,6.445500,6.445500,0
2021-10-04,6.445700,6.445700,6.445200,6.445700,6.445700,0
2021-10-05,6.445200,6.445200,6.445200,6.445200,6.445200,0
2021-10-06,6.445200,6.445200,6.445200,6.445200,6.445200,0
2021-10-07,6.445200,6.445700,6.445200,6.445200,6.445200,0
2021-10-08,6.445200,6.450400,6.430700,6.445200,6.445200,0
2021-10-11,6.442300,6.449700,6.425200,6.442300,6.442300,0
2021-10-12,6.449600,6.457000,6.439300,6.449600,6.449600,0
2021-10-13,6.448000,6.450200,6.426100,6.448000,6.448000,0
2021-10-14,6.426600,6.439000,6.426600,6.426600,6.426600,0
2021-10-15,6.439000,6.439500,6.420200,6.439000,6.439000,0
2021-10-18,6.434800,6.438300,6.420500,6.434800,6.434800,0
2021-10-19,6.428900,6.428900,6.371700,6.428900,6.428900,0
2021-10-20,6.381800,6.396500,6.381100,6.381800,6.381800,0
2021-10-21,6.392900,6.401200,6.386400,6.392900,6.392900,0
2021-10-22,6.391800,6.399800,6.375000,6.391800,6.391800,0
2021-10-25,6.383900,6.390600,6.373100,6.383900,6.383900,0
2021-10-26,6.384700,6.385200,6.370900,6.384700,6.384700,0
2021-10-27,6.381500,6.395600,6.374700,6.381500,6.381500,0
2021-10-28,6.391600,6.403800,6.387100,6.391600,6.391600,0
2021-10-29,6.390400,6.406800,6.381700,6.390400,6.390400,0
2021-11-01,6.404800,6.405900,6.386800,6.404700,6.404700,0
2021-11-02,6.396200,6.400500,6.388500,6.396200,6.396200,0
2021-11-03,6.398900,6.405700,6.385600,6.398900,6.398900,0
2021-11-04,6.406200,6.406300,6.390700,6.406200,6.406200,0
2021-11-05,6.396400,6.403200,6.390800,6.396400,6.396400,0
2021-11-08,6.397900,6.399000,6.382700,6.397900,6.397900,0
2021-11-09,6.391600,6.396000,6.379600,6.391600,6.391600,0
2021-11-10,6.391700,6.393700,6.381200,6.391700,6.391700,0
2021-11-11,6.388100,6.406800,6.387800,6.388100,6.388100,0
2021-11-12,6.389500,6.396100,6.371300,6.389500,6.389500,0
2021-11-15,6.378700,6.384100,6.377700,6.378600,6.378600,0
2021-11-16,6.382100,6.395400,6.366000,6.382100,6.382100,0
2021-11-17,6.391100,6.392400,6.365800,6.391100,6.391100,0
2021-11-18,6.376900,6.386900,6.374400,6.376900,6.376900,0
2021-11-19,6.385000,6.389700,6.374300,6.385000,6.385000,0
2021-11-22,6.386200,6.388600,6.369800,6.386200,6.386200,0
2021-11-23,6.384300,6.392400,6.378900,6.384300,6.384300,0
2021-11-24,6.390800,6.392000,6.376900,6.390800,6.390800,0
2021-11-25,6.391800,6.392000,6.376700,6.391800,6.391800,0
2021-11-26,6.386000,6.392700,6.378900,6.386000,6.386000,0
2021-11-29,6.392000,6.392000,6.375800,6.392000,6.392000,0
2021-11-30,6.387000,6.387800,6.360800,6.387000,6.387000,0
2021-12-01,6.363200,6.371000,6.356500,6.363200,6.363200,0
2021-12-02,6.367300,6.377000,6.359300,6.367300,6.367300,0
2021-12-03,6.375600,6.376500,6.360800,6.375600,6.375600,0
2021-12-06,6.375400,6.377800,6.361800,6.375300,6.375300,0
2021-12-07,6.374800,6.375300,6.355700,6.374800,6.374800,0
2021-12-08,6.366300,6.366400,6.338200,6.366300,6.366300,0
2021-12-09,6.343700,6.377400,6.333700,6.343700,6.343700,0
2021-12-10,6.376500,6.382500,6.357300,6.376500,6.376500,0
2021-12-13,6.360000,6.366000,6.353700,6.360000,6.360000,0
2021-12-14,6.365500,6.368100,6.352900,6.365500,6.365500,0
2021-12-15,6.366500,6.367100,6.354200,6.366500,6.366500,0
2021-12-16,6.366500,6.368300,6.356300,6.366500,6.366500,0
2021-12-17,6.367200,6.381600,6.358600,6.367200,6.367200,0
2021-12-20,6.374400,6.379100,6.366400,6.374000,6.374000,0
2021-12-21,6.374600,6.375100,6.361600,6.374600,6.374600,0
2021-12-22,6.370600,6.372600,6.359900,6.370600,6.370600,0
2021-12-23,6.369100,6.370600,6.360100,6.369100,6.369100,0
2021-12-24,6.368800,6.370300,6.359700,6.368800,6.368800,0
2021-12-27,6.366600,6.372200,6.361300,6.366600,6.366600,0
2021-12-28,6.369800,6.371500,6.360800,6.369800,6.369800,0
2021-12-29,6.367200,6.371400,6.358400,6.367200,6.367200,0
2021-12-30,6.367300,6.377500,6.358700,6.367300,6.367300,0
2021-12-31,6.372100,6.377500,6.339700,6.372100,6.372100,0
